Pos,Name,CT,Amount [Copies],Target,SampleIDNum,Date,Location,Volume,DilutionFactor
A1,STANDARD,21.535,50000,Ecoli,1,,,,1
A2,STANDARD,21.123,50000,Ecoli,1,,,,1
B1,STANDARD,,10000,Ecoli,2,,,,1
B2,STANDARD,23.587,10000,Ecoli,2,,,,1
C1,STANDARD,31.886,5000,Ecoli,3,,,,1
C2,STANDARD,,5000,Ecoli,3,,,,1
D1,STANDARD,34.393,1000,Ecoli,4,,,,1
D2,STANDARD,37.969,1000,Ecoli,4,,,,1
E1,STANDARD,31.671,500,Ecoli,5,,,,1
E2,STANDARD,31.365,500,Ecoli,5,,,,1
F1,STANDARD,31.561,100,Ecoli,6,,,,1
F2,STANDARD,31.14,100,Ecoli,6,,,,1
G1,STANDARD,37.702,50,Ecoli,7,,,,1
G2,STANDARD,37.119,50,Ecoli,7,,,,1
H1,STANDARD,,10,Ecoli,8,,,,1
H2,STANDARD,,10,Ecoli,8,,,,1
A3,UNKNOWN,33.407,,Ecoli,70,10/21/18,Site 1,495,1
A4,UNKNOWN,33.844,,Ecoli,70,10/21/18,Site 1,495,1
A5,UNKNOWN,36.752,,Ecoli,70,10/21/18,Site 1,495,10
A6,UNKNOWN,30.417,,Ecoli,78,10/21/18,Site 5,540,1
A7,UNKNOWN,30.268,,Ecoli,78,10/21/18,Site 5,540,1
A8,UNKNOWN,34.297,,Ecoli,78,10/21/18,Site 5,540,10
A9,UNKNOWN,29.175,,Ecoli,86,10/21/18,Site 11,505,1
A10,UNKNOWN,29.919,,Ecoli,86,10/21/18,Site 11,505,1
A11,UNKNOWN,33.24,,Ecoli,86,10/21/18,Site 11,505,10
B3,UNKNOWN,23.673,,Ecoli,71,10/21/18,Site 1,503,1
B4,UNKNOWN,34.719,,Ecoli,71,10/21/18,Site 1,503,1
B5,UNKNOWN,34.692,,Ecoli,71,10/21/18,Site 1,503,10
B6,UNKNOWN,37.58,,Ecoli,79,10/21/18,Site 7,560,1
B7,UNKNOWN,33.273,,Ecoli,79,10/21/18,Site 7,560,1
B8,UNKNOWN,32.786,,Ecoli,79,10/21/18,Site 7,560,10
B9,UNKNOWN,36.809,,Ecoli,87,10/21/18,Site 11,565,1
B10,UNKNOWN,28.773,,Ecoli,87,10/21/18,Site 11,565,1
B11,UNKNOWN,28.444,,Ecoli,87,10/21/18,Site 11,565,10
C3,UNKNOWN,24.847,,Ecoli,72,10/21/18,Site 1,515,1
C4,UNKNOWN,24.829,,Ecoli,72,10/21/18,Site 1,515,1
C5,UNKNOWN,37.861,,Ecoli,72,10/21/18,Site 1,515,10
C6,UNKNOWN,36.723,,Ecoli,80,10/21/18,Site 7,560,1
C7,UNKNOWN,36.665,,Ecoli,80,10/21/18,Site 7,560,1
C8,UNKNOWN,31.583,,Ecoli,80,10/21/18,Site 7,560,10
C9,UNKNOWN,31.425,,Ecoli,88,10/21/18,Site 13,565,1
C10,UNKNOWN,35.649,,Ecoli,88,10/21/18,Site 13,565,1
C11,UNKNOWN,34.486,,Ecoli,88,10/21/18,Site 13,565,10
D3,UNKNOWN,,,Ecoli,73,10/21/18,Site 3,575,1
D4,UNKNOWN,27.039,,Ecoli,73,10/21/18,Site 3,575,1
D5,UNKNOWN,26.91,,Ecoli,73,10/21/18,Site 3,575,10
D6,UNKNOWN,33.798,,Ecoli,81,10/21/18,Site 7,550,1
D7,UNKNOWN,34.518,,Ecoli,81,10/21/18,Site 7,550,1
D8,UNKNOWN,36.432,,Ecoli,81,10/21/18,Site 7,550,10
D9,UNKNOWN,31.898,,Ecoli,89,10/21/18,Site 13,575,1
D10,UNKNOWN,31.81,,Ecoli,89,10/21/18,Site 13,575,1
D11,UNKNOWN,34.265,,Ecoli,89,10/21/18,Site 13,575,10
E3,UNKNOWN,35.932,,Ecoli,74,10/21/18,Site 3,512,1
