Pos,Name,CT,Amount [Copies],Target,SampleIDNum,Date,Location,Volume,DilutionFactor
A1,STANDARD,22.872,50000.00,genbac,St1,,,,1
A2,STANDARD,22.761,50000.00,genbac,St1,,,,1
B1,STANDARD,25.379,10000.00,genbac,St2,,,,1
B2,STANDARD,25.091,10000.00,genbac,St2,,,,1
C1,STANDARD,26.277,5000.00,genbac,St3,,,,1
C2,STANDARD,26.07,5000.00,genbac,St3,,,,1
D1,STANDARD,28.58,1000.00,genbac,St4,,,,1
D2,STANDARD,28.495,1000.00,genbac,St4,,,,1
E1,STANDARD,29.685,500.00,genbac,St5,,,,1
E2,STANDARD,29.643,500.00,genbac,St5,,,,1
F1,STANDARD,31.868,100.00,genbac,St6,,,,1
F2,STANDARD,31.941,100.00,genbac,St6,,,,1
G1,STANDARD,33.441,50.00,genbac,St7,,,,1
G2,STANDARD,32.869,50.00,genbac,St7,,,,1
H1,STANDARD,35.516,10.00,genbac,St8,,,,1
H2,STANDARD,35.197,10.00,genbac,St8,,,,1
A3,UNKNOWN,31.327,,genbac,220,3/22/19,S1-B,415,1
A4,UNKNOWN,31.655,,genbac,220,3/22/19,S1-B,415,1
A5,UNKNOWN,34.21,,genbac,220,3/22/19,S1-B,415,10
A6,UNKNOWN,28.138,,genbac,228,3/22/19,S3-S,430,1
A7,UNKNOWN,28.37,,genbac,228,3/22/19,S3-S,430,1
A8,UNKNOWN,31.5,,genbac,228,3/22/19,S3-S,430,10
A9,UNKNOWN,28.989,,genbac,236,3/22/19,S6-M,465,1
A10,UNKNOWN,29.35,,genbac,236,3/22/19,S6-M,465,1
A11,UNKNOWN,31.777,,genbac,236,3/22/19,S6-M,465,10
B3,UNKNOWN,31.482,,genbac,221,3/22/19,S1-M,325,1
B4,UNKNOWN,31.607,,genbac,221,3/22/19,S1-M,325,1
B5,UNKNOWN,34.461,,genbac,221,3/22/19,S1-M,325,10
B6,UNKNOWN,30.232,,genbac,229,3/22/19,S4-B,463,1
B7,UNKNOWN,30.272,,genbac,229,3/22/19,S4-B,463,1
B8,UNKNOWN,33.178,,genbac,229,3/22/19,S4-B,463,10
B9,UNKNOWN,27.703,,genbac,237,3/22/19,S6-S,475,1
B10,UNKNOWN,27.714,,genbac,237,3/22/19,S6-S,475,1
B11,UNKNOWN,30.58,,genbac,237,3/22/19,S6-S,475,10
C3,UNKNOWN,31.044,,genbac,222,3/22/19,S1-S,445,1
C4,UNKNOWN,31.306,,genbac,222,3/22/19,S1-S,445,1
C5,UNKNOWN,34.159,,genbac,222,3/22/19,S1-S,445,10
C6,UNKNOWN,29.491,,genbac,230,3/22/19,S4-M,495,1
C7,UNKNOWN,29.402,,genbac,230,3/22/19,S4-M,495,1
C8,UNKNOWN,32.699,,genbac,230,3/22/19,S4-M,495,10
C9,UNKNOWN,27.297,,genbac,238,3/22/19,S7-B,495,1
C10,UNKNOWN,27.5,,genbac,238,3/22/19,S7-B,495,1
C11,UNKNOWN,29.855,,genbac,238,3/22/19,S7-B,495,10
D3,UNKNOWN,30.891,,genbac,223,3/22/19,S2-B,445,1
D4,UNKNOWN,30.968,,genbac,223,3/22/19,S2-B,445,1
D5,UNKNOWN,34.424,,genbac,223,3/22/19,S2-B,445,10
D6,UNKNOWN,27.783,,genbac,231,3/22/19,S4-S,475,1
D7,UNKNOWN,27.859,,genbac,231,3/22/19,S4-S,475,1
D8,UNKNOWN,30.886,,genbac,231,3/22/19,S4-S,475,10
D9,UNKNOWN,30.073,,genbac,239,3/22/19,S7-M,440,1
D10,UNKNOWN,29.883,,genbac,239,3/22/19,S7-M,440,1
D11,UNKNOWN,31.653,,genbac,239,3/22/19,S7-M,440,10
E3,UNKNOWN,30.707,,genbac,224,3/22/19,S2-M,445,1
E4,UNKNOWN,30.849,,genbac,224,3/22/19,S2-M,445,1
E5,UNKNOWN,33.383,,genbac,224,3/22/19,S2-M,445,10
E6,UNKNOWN,28.578,,genbac,232,3/22/19,S5-B,465,1
E7,UNKNOWN,28.85,,genbac,232,3/22/19,S5-B,465,1
E8,UNKNOWN,31.793,,genbac,232,3/22/19,S5-B,465,10
E9,UNKNOWN,30.515,,genbac,240,3/22/19,S7-S,335,1
E10,UNKNOWN,30.381,,genbac,240,3/22/19,S7-S,335,1
E11,UNKNOWN,31.997,,genbac,240,3/22/19,S7-S,335,10
F3,UNKNOWN,28.302,,genbac,225,3/22/19,S2-S,460,1
F4,UNKNOWN,28.501,,genbac,225,3/22/19,S2-S,460,1
F5,UNKNOWN,31.596,,genbac,225,3/22/19,S2-S,460,10
F6,UNKNOWN,28.315,,genbac,233,3/22/19,S5-M,490,1
F7,UNKNOWN,28.313,,genbac,233,3/22/19,S5-M,490,1
F8,UNKNOWN,31.386,,genbac,233,3/22/19,S5-M,490,10
F9,UNKNOWN,27.896,,genbac,241,3/22/19,S8-B,440,1
F10,UNKNOWN,27.891,,genbac,241,3/22/19,S8-B,440,1
F11,UNKNOWN,29.72,,genbac,241,3/22/19,S8-B,440,10
