Pos,Name,CT,Amount [Copies],Target,SampleIDNum,Date,Location,Volume,DilutionFactor
A1,STANDARD,23.901,50000,genbac,1,,,,1
A2,STANDARD,23.655,50000,genbac,1,,,,1
B1,STANDARD,26.193,10000,genbac,2,,,,1
B2,STANDARD,25.986,10000,genbac,2,,,,1
C1,STANDARD,26.799,5000,genbac,3,,,,1
C2,STANDARD,26.752,5000,genbac,3,,,,1
D1,STANDARD,29.308,1000,genbac,4,,,,1
D2,STANDARD,29.292,1000,genbac,4,,,,1
E1,STANDARD,30.346,500,genbac,5,,,,1
E2,STANDARD,30.163,500,genbac,5,,,,1
F1,STANDARD,33.045,100,genbac,6,,,,1
F2,STANDARD,33.129,100,genbac,6,,,,1
G1,STANDARD,33.819,50,genbac,7,,,,1
G2,STANDARD,33.778,50,genbac,7,,,,1
H1,STANDARD,36.743,10,genbac,8,,,,1
H2,STANDARD,36.129,10,genbac,8,,,,1
A3,UNKNOWN,32.663,,genbac,102,11/29/18,Site 17,525,1
A4,UNKNOWN,32.639,,genbac,102,11/29/18,Site 17,525,1
A5,UNKNOWN,35.662,,genbac,102,11/29/18,Site 17,525,10
A6,UNKNOWN,28.602,,genbac,110,11/29/18,Site 11,425,1
A7,UNKNOWN,28.986,,genbac,110,11/29/18,Site 11,425,1
A8,UNKNOWN,32.086,,genbac,110,11/29/18,Site 11,425,10
A9,UNKNOWN,29.065,,genbac,118,11/29/18,Site 5,385,1
A10,UNKNOWN,29.421,,genbac,118,11/29/18,Site 5,385,1
A11,UNKNOWN,31.858,,genbac,118,11/29/18,Site 5,385,10
B3,UNKNOWN,31.978,,genbac,103,11/29/18,Site 17,470,1
B4,UNKNOWN,32.05,,genbac,103,11/29/18,Site 17,470,1
B5,UNKNOWN,35.139,,genbac,103,11/29/18,Site 17,470,10
B6,UNKNOWN,30.917,,genbac,111,11/29/18,Site 9,395,1
B7,UNKNOWN,30.845,,genbac,111,11/29/18,Site 9,395,1
B8,UNKNOWN,34.276,,genbac,111,11/29/18,Site 9,395,10
B9,UNKNOWN,28.058,,genbac,119,11/29/18,Site 5,375,1
B10,UNKNOWN,27.985,,genbac,119,11/29/18,Site 5,375,1
